"Value","space","time","itemNo","RT","sid"
"f","hor","year",26,5993,15
"j","hor","second",1,4188,15
"f","hor","day",13,2693,15
"f","hor","century",30,1929,15
"f","ver","hour",12,5039,15
"f","ver","week",20,2246,15
"f","ver","minute",7,4019,15
"f","hor","century",29,2737,15
"f","ver","century",31,3529,15
"f","hor","month",21,2566,15
"j","hor","hour",9,3197,15
"f","ver","second",3,4662,15
"f","hor","week",17,2712,15
"f","ver","minute",8,2535,15
"f","ver","month",24,2692,15
"f","ver","day",15,4164,15
"j","hor","minute",6,3208,15
"j","ver","century",32,2455,15
"j","ver","day",16,7184,15
"f","ver","second",4,4058,15
"j","ver","week",19,1919,15
"f","ver","year",28,5582,15
"f","hor","hour",10,2117,15
"f","hor","month",22,2273,15
"j","ver","hour",11,9706,15
"f","hor","week",18,2596,15
"f","hor","second",2,4188,15
"f","ver","year",27,3525,15
"f","hor","year",25,3121,15
"j","hor","minute",5,2352,15
"f","ver","minute",8,9186,16
"f","hor","month",21,3206,16
"f","hor","week",17,4594,16
"f","hor","hour",9,4814,16
"f","hor","hour",10,4830,16
"j","ver","week",20,4074,16
"f","ver","month",24,2795,16
"f","hor","second",1,2677,16
"f","ver","minute",7,3445,16
"j","hor","day",14,3302,16
"f","hor","century",30,2641,16
"f","ver","year",27,4778,16
"f","hor","minute",6,9133,16
"f","ver","day",15,2914,16
"f","ver","second",4,7463,16
"j","ver","day",16,2964,16
"f","hor","month",22,1615,16
"j","hor","minute",5,3496,16
"f","hor","year",25,2803,16
"f","ver","year",28,12251,16
"j","ver","hour",11,4482,16
"f","ver","century",31,3055,16
"j","ver","century",32,2055,16
"f","hor","week",18,2427,16
"f","hor","day",13,2580,16
"f","ver","week",19,3234,16
"f","hor","second",2,5484,16
"f","ver","hour",12,4311,16
"f","ver","month",23,2260,16
"f","hor","year",26,2066,16
"f","hor","century",29,1341,16
"f","ver","second",3,4572,16
"j","ver","day",16,4039,17
"j","ver","hour",11,14995,17
"f","ver","minute",8,5400,17
"f","hor","century",30,2968,17
"f","hor","month",22,2421,17
"f","ver","century",31,2375,17
"j","hor","month",21,4873,17
"f","hor","week",17,3442,17
"f","ver","month",24,3481,17
"j","hor","minute",6,10332,17
"j","ver","century",32,2585,17
"f","ver","hour",12,4374,17
"f","ver","minute",7,8596,17
"f","ver","second",4,4499,17
"f","hor","hour",10,2977,17
"f","hor","second",2,2734,17
"f","ver","second",3,12452,17
"f","ver","week",20,5646,17
"f","hor","year",26,5390,17
"f","hor","second",1,4618,17
"f","ver","week",19,2125,17
"f","hor","week",18,2557,17
"j","hor","minute",5,2759,17
"j","hor","day",13,2783,17
"f","ver","year",28,6391,17
"f","hor","year",25,7802,17
"j","hor","day",14,2520,17
"f","hor","century",29,2255,17
"f","hor","hour",9,5947,17
"f","ver","day",15,3261,17
"f","ver","year",27,4324,17
"f","ver","month",23,2706,17
"f","hor","second",1,6930,18
"f","ver","minute",7,38632,18
"f","ver","year",28,50698,18
"j","ver","hour",11,16580,18
"j","ver","year",27,23120,18
"j","ver","day",16,3145,18
"f","ver","month",23,6565,18
"f","hor","second",2,13590,18
"f","ver","century",31,6552,18
"f","ver","week",20,4222,18
"f","ver","month",24,17992,18
"f","hor","month",22,23188,18
"f","hor","month",21,47673,18
"f","ver","second",3,8232,18
"j","hor","day",14,6969,18
"f","hor","week",18,4115,18
"j","hor","minute",6,6501,18
"f","ver","second",4,8258,18
"j","ver","century",32,4784,18
"f","hor","century",29,6235,18
"f","hor","hour",10,7185,18
"f","ver","week",19,2565,18
"f","ver","minute",8,9272,18
"f","hor","day",13,25973,18
"j","hor","year",25,11668,18
"f","ver","hour",12,3404,18
"f","hor","hour",9,3527,18
"f","hor","week",17,9249,18
"j","hor","minute",5,3610,18
"f","hor","year",26,9075,18
"f","ver","day",15,2907,18
"j","hor","century",30,3770,18
"f","hor","hour",10,9291,19
"f","hor","hour",9,2996,19
"j","hor","minute",5,3567,19
"f","ver","week",19,2673,19
"f","hor","second",1,7413,19
